prediction,count,pcc,user_lifetime,user_no_outgoing_activity_in_days,user_account_balance_last,reloads_inactive_days,reloads_count,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_inactive_days,churn
1,18499,0.476704633,1810.727607,3.136232589,10.02197632,104.3891652,0.720291187,28.87258771,3.422359677,8.317891057,0.040056219
2,5485,0.141344122,15914.72443,8.350319052,0.322341234,34.99653601,0.95092677,0.888453358,0.0546457,1118.935126,0.863445761
3,10553,0.271942483,2392.291023,10.84089832,7.515656212,1142.279841,0.044631858,9.803468208,0.678347705,25.07702391,0.266938311
4,3652,0.094109158,1168.265745,1.438298649,7.854073111,21.04769076,2.240826944,116.1668492,15.52632393,2.775830595,0.024096386
5,617,0.015899603,9236.828201,430.2603998,4.725575365,858.3144246,0.357644516,16.17179903,1.939940573,442.5667207,0.444084279
