user_account_id,user_lifetime,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_onnet_inactive_days,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_offnet_inactive_days,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,calls_outgoing_to_abroad_inactive_days,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_onnet_inactive_days,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_offnet_inactive_days,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_outgoing_to_abroad_inactive_days,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,sms_incoming_from_abroad_spendings,gprs_session_count,gprs_usage,gprs_spendings,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage,user_intake,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,n_months
346237,1406.0,3.333333333333333,4.5,10.74,31.0,1.6666666666666667,12.836666666666668,87.33333333333331,9.82,74.65333333333334,1.0533333333333332,7.136666666666668,3.333333333333333,1.6666666666666667,0.06999999999999999,0.2,3.333333333333333,43.66666666666666,9.413333333333332,62.75,3.333333333333333,7.333333333333332,0.2133333333333333,1.4966666666666668,3.333333333333333,32.666666666666664,0.87,0.06999999999999999,8.0,0.3333333333333333,0.02,8.0,14.333333333333336,0.7599999999999999,8.0,1.0,0.09000000000000001,8.0,27.33333333333333,0.03,4.0,0.03,2.0,0.28,0.05,49.0,9.0,48.51333333333333,307.45666666666665,1.4266666666666667,268.7,5.126666666666667,208.0,1.0,34.0,1.0,1.5199999999999998,0,1,1,1,1,3
943586,394.0,1.3333333333333333,8.933333333333334,15.243333333333334,6.0,2.0,15.416666666666664,85.0,14.050000000000002,96.15666666666668,1.663333333333333,11.006666666666666,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,64.33333333333333,10.45,69.67,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,17.666666666666668,1.1933333333333334,0.09333333333333332,6.0,0.0,0.0,6.0,15.0,0.9,6.0,0.0,0.0,6.0,8.666666666666666,0.13,1.6666666666666667,0.13,0.0,0.0,0.0,1307.0,7.333333333333332,43.58333333333334,282.18,0.0,195.2633333333333,0.0,37.66666666666666,0.0,31.66666666666667,0.0,0.0,0,1,1,0,1,3
268735,1891.0,0.6666666666666666,8.556666666666667,9.693333333333333,13.333333333333336,1.0,8.01,9.0,1.7033333333333331,13.343333333333335,0.8633333333333334,5.736666666666667,8.0,0.0,0.0,0.0,8.0,4.0,1.4400000000000002,9.61,8.0,0.0,0.0,0.0,8.0,225.0,7.989999999999998,0.06999999999999999,0.6666666666666666,10.0,0.6,0.6666666666666666,120.66666666666669,7.239999999999998,0.6666666666666666,1.6666666666666667,0.15,0.6666666666666666,6.333333333333332,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1307.0,7.333333333333332,36.031666666666666,95.07666666666668,0.96,75.40333333333331,2.31,860.6666666666665,29.0,352.0,8.333333333333334,0.0,0,1,1,0,1,3
1034925,303.0,862.6666666666665,0.0,0.0,1307.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,862.6666666666665,0.0,0.0,0.0,862.6666666666665,0.0,0.0,0.0,862.6666666666665,0.0,0.0,0.0,862.6666666666665,0.0,0.0,0.0,1307.0,0.0,0.0,1307.0,0.0,0.0,1307.0,0.0,0.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,3
411772,820.0,2.333333333333333,5.82,4.873333333333334,478.33333333333326,0.0,0.0,27.33333333333333,4.873333333333334,30.96666666666667,1.4900000000000002,5.009999999999999,2.333333333333333,0.0,0.0,0.0,2.333333333333333,10.333333333333334,2.07,13.786666666666667,2.333333333333333,1.3333333333333333,0.0,0.01,2.333333333333333,0.0,0.0,0.0,1307.0,0.0,0.0,1307.0,0.0,0.0,1307.0,0.0,0.0,1307.0,9.666666666666666,0.03,3.0,0.03,0.0,0.0,0.0,1307.0,1.0,12.0,116.35333333333335,0.0,47.51333333333333,0.03,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,3
941567,237.0,0.6666666666666666,56.33666666666666,2.1166666666666667,29.0,1.0,5.0,18.0,1.2566666666666666,8.893333333333333,0.19333333333333333,1.2833333333333334,3.0,0.0,0.0,0.0,3.0,11.666666666666664,0.79,5.26,3.0,1.0,0.05333333333333334,0.64,3.0,12.333333333333336,0.86,0.06,18.33333333333333,8.333333333333334,0.5,18.33333333333333,0.0,0.0,18.33333333333333,4.0,0.36000000000000004,18.33333333333333,6.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,1307.0,3.0,15.0,32.34333333333333,0.43333333333333335,17.44666666666667,1.7133333333333332,20.0,11.0,0.0,9.0,0.0,0,1,1,0,1,3
384816,1215.0,0.6666666666666666,2.8000000000000003,10.373333333333337,29.33333333333333,0.6666666666666666,8.006666666666666,64.66666666666667,8.233333333333334,56.24333333333334,0.86,5.72,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,39.66666666666666,7.486666666666667,49.89333333333334,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,116.66666666666669,2.14,0.04,2.0,0.0,0.0,2.0,35.666666666666664,2.14,2.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.0,3.333333333333333,28.01,147.78333333333333,0.0,131.23333333333332,0.0,425.66666666666674,0.0,225.0,0.0,0.0,0,1,1,0,1,3
1099546,5333.666666666667,0.6666666666666666,7.010000000000002,12.623333333333335,9.0,3.6666666666666665,13.833333333333336,61.0,9.553333333333333,36.016666666666666,1.7866666666666664,6.1933333333333325,2.0,1.3333333333333333,0.86,2.773333333333333,2.0,7.333333333333332,0.92,6.116666666666667,2.0,17.666666666666668,1.356666666666667,4.99,2.0,26.33333333333333,1.8033333333333332,0.14,4.333333333333333,0.0,0.0,4.333333333333333,10.0,0.6,4.333333333333333,5.333333333333333,0.4766666666666666,4.333333333333333,20.0,0.0,5.333333333333333,0.0,946.0,248.4466666666667,1.2666666666666666,0.6666666666666666,10.333333333333334,28.5,67.69,6.536666666666666,9.133333333333336,9.74,53.66666666666666,0.0,16.666666666666668,12.333333333333336,402.76333333333326,1,1,1,1,1,3
1103499,88.0,1.6666666666666667,12.583333333333336,5.9766666666666675,477.66666666666674,0.0,0.0,15.666666666666664,0.1,1.9666666666666668,0.05,0.6633333333333333,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.1,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667,97.66666666666669,5.8599999999999985,0.06,2.0,2.0,0.12,2.0,95.66666666666669,5.739999999999998,2.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,1.0,0.1,0.016666666666666666,863.3333333333335,2.6666666666666665,18.0,10.21,0.0,4.0,0.0,214.33333333333331,6.0,207.0,0.0,0.1,0,1,1,1,0,3
379659,1281.0,0.6666666666666666,4.739999999999998,2.7,18.0,1.3333333333333333,4.0,53.33333333333334,1.4633333333333332,20.693333333333328,0.5333333333333333,3.6966666666666663,0.6666666666666666,0.3333333333333333,0.05,0.16666666666666666,0.6666666666666666,37.66666666666666,1.37,15.286666666666667,0.6666666666666666,3.6666666666666665,0.09666666666666666,0.7833333333333333,0.6666666666666666,20.0,1.2366666666666666,0.2333333333333333,3.333333333333333,2.0,0.12,3.333333333333333,15.666666666666664,0.64,3.333333333333333,1.0,0.19,3.333333333333333,13.333333333333336,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,908.0,2.6666666666666665,12.0,74.03666666666669,0.16666666666666666,61.19666666666666,0.7833333333333333,76.66666666666667,13.666666666666664,58.33333333333334,1.0,0.10666666666666667,0,1,1,0,1,3
