cluster_id,cluster_size,cluster_size_pct,user_lifetime,calls_outgoing_count,calls_outgoing_inactive_days,calls_outgoing_spendings,reloads_inactive_days,reloads_count,user_account_balance_last,user_no_outgoing_activity_in_days,churn
0,11764,30.314899757769417,2195.3504901960805,22.46197438512977,7.92775983225485,2.184231128867731,135.07504533605388,0.6009577241301136,6.164852941176471,3.6391391816841203,0.0009350561033671934
1,4587,11.820337061279183,15929.383148027146,0.7108131676479559,1132.6251362546222,0.026976600537769624,21.897572850807762,0.9843034663178588,0.19455308480472144,6.950948332243247,1.0000000000000062
2,1776,4.57661186414472,1201.0695382882886,11.884196696696694,18.824981231231305,1.3229579579579556,1110.5596846846847,0.0361298798798797,23.78151651651652,6.464808558558559,0.06587837837837884
3,616,1.5873833943204658,9234.598484848486,15.684523809523807,442.59469696969694,1.9011742424242413,859.0151515151515,0.353896103896104,4.731455627705627,430.2683982683985,0.44480519480519476
4,5822,15.002834613204143,1771.2270411084373,11.822168785068136,21.36459406847547,0.7544907248368338,1178.1614279171108,0.060975609756098725,5.412687220886296,8.475781518378563,2.7755575615628914e-17
5,1276,3.288151316806679,1055.920193312436,165.73197492163007,2.6145506792060473,21.24036703239289,15.413662486938449,3.19083072100314,6.364887669801463,1.825757575757569,0.019592476489028954
6,5046,13.003143843735504,1286.167591491606,72.35506671951379,2.968820187605246,9.814485731272296,30.539998678821235,1.4715616329766212,7.602903950323689,1.5981965913593932,0.029726516052321683
7,3408,8.782147090656084,4032.641480829421,7.4976525821595885,29.654880672926424,0.6174887519561736,944.2975841158116,0.11712636932707277,4.359751564945229,16.59883607198748,0.9999999999999987
8,793,2.043498428078132,15691.238335435044,1.68999579655312,1214.6563682219453,0.17549810844891756,50.52963430012545,0.8949138293400586,1.1804245481294746,14.225304749894914,1.6653345369377348e-16
9,3718,9.58099263000567,1331.027568585257,28.534920207997132,10.058544020082394,4.3208960910883984,81.15586336740193,0.6960731576116191,23.054636005020626,2.725838264299769,0.022592791823562525
