,user_lifetime,user_no_outgoing_activity_in_days,user_account_balance_last,user_spendings,user_has_outgoing_calls,user_has_outgoing_sms,user_use_gprs,user_does_reload,reloads_inactive_days,reloads_count,reloads_sum,calls_outgoing_count,calls_outgoing_spendings,calls_outgoing_duration,calls_outgoing_spendings_max,calls_outgoing_duration_max,calls_outgoing_inactive_days,calls_outgoing_to_onnet_count,calls_outgoing_to_onnet_spendings,calls_outgoing_to_onnet_duration,calls_outgoing_to_offnet_count,calls_outgoing_to_offnet_spendings,calls_outgoing_to_offnet_duration,calls_outgoing_to_abroad_count,calls_outgoing_to_abroad_spendings,calls_outgoing_to_abroad_duration,sms_outgoing_count,sms_outgoing_spendings,sms_outgoing_spendings_max,sms_outgoing_inactive_days,sms_outgoing_to_onnet_count,sms_outgoing_to_onnet_spendings,sms_outgoing_to_offnet_count,sms_outgoing_to_offnet_spendings,sms_outgoing_to_abroad_count,sms_outgoing_to_abroad_spendings,sms_incoming_count,sms_incoming_spendings,sms_incoming_from_abroad_count,gprs_inactive_days,last_100_reloads_count,last_100_reloads_sum,last_100_calls_outgoing_duration,last_100_calls_outgoing_to_onnet_duration,last_100_calls_outgoing_to_offnet_duration,last_100_calls_outgoing_to_abroad_duration,last_100_sms_outgoing_count,last_100_sms_outgoing_to_onnet_count,last_100_sms_outgoing_to_offnet_count,last_100_sms_outgoing_to_abroad_count,last_100_gprs_usage
user_lifetime,1.0,0.3410078109064826,-0.1684466372581239,-0.1658901583987359,-0.5208860756634102,-0.4180406463452457,-0.06667279392982874,-0.02242039708535824,0.13109013262123567,-0.09109652924705978,-0.12613406453457038,-0.18530293125784766,-0.15301906988677128,-0.16669268656001987,-0.16405347795190106,-0.21122372068125222,0.607300284750961,-0.05443341814056566,-0.041326489220924724,-0.042583010513558166,-0.15492053168612965,-0.1565554321159517,-0.1454645577961956,-0.05042623718070386,-0.04988310918423201,-0.04939543364103977,-0.12999602102267147,-0.0960126300715349,-0.10167359425037495,0.5496130353743242,-0.06683070238130183,-0.0656202099339276,-0.10890103185243936,-0.10907066958986726,-0.05537772874325809,-0.05101710855610942,-0.19396783440486592,-0.03500555732175411,-0.10283334700703774,0.10822616736630439,-0.16641746780466837,-0.18842116266428457,-0.19608137751947038,-0.05636412427823481,-0.17252179634171444,-0.06177877041927645,-0.15356711040838844,-0.08481640603699676,-0.13561166173021735,-0.07244465710669017,-0.025349304328917598
user_no_outgoing_activity_in_days,0.3410078109064826,1.0,-0.08892340179242782,-0.09765356527621978,-0.5095379123106311,-0.2630283381984318,-0.04343842221560074,-0.18655353849977477,0.28437030975190575,-0.11946230433714886,-0.09356046286919333,-0.11023348588681935,-0.09008960950400002,-0.09701846751295,-0.10114186414058106,-0.1287457322643828,0.6300554458239795,-0.031623340257641824,-0.02385275403127836,-0.02457591379242476,-0.08969957441567168,-0.09079033440543977,-0.08322995645586122,-0.028203453816551826,-0.028955403981761475,-0.02866142388253809,-0.07638038618138372,-0.055779949016454396,-0.061200355266391525,0.317506664028719,-0.038962260893330984,-0.038686053032298884,-0.06322960043827276,-0.063843646029883,-0.03348113722451398,-0.031163002187708327,-0.1269842321424375,-0.020012647866628104,-0.0536782191945915,0.04773527018466139,-0.10956942986315506,-0.10669049109380487,-0.10528746317346985,-0.031423256681831255,-0.0921098125283654,-0.0343995243832676,-0.08208685604916462,-0.04490390458715692,-0.07064932943381103,-0.04086676736961825,-0.014326722721894768
user_account_balance_last,-0.1684466372581239,-0.08892340179242782,1.0,0.09558918170623862,0.12830956727339987,0.13758078382387443,0.03711763164528353,0.0702452040178644,-0.08733720815703767,0.020875192238214123,0.21128133879733016,0.022457066621093355,0.1016309665752906,0.07824939538544556,0.1246056069696501,0.12410768367205238,-0.13839514634117905,0.06773010673621702,0.07552785319833862,0.0774306561923424,-0.0006530484124678843,0.04492819990274891,0.04308461253336997,0.03624330997440066,0.11477398126673796,0.08241342955964519,0.02065691668379153,0.02699360547964352,0.031482002565055484,-0.15040675153336772,0.04053510535201304,0.009768184787990856,0.014978573559585567,0.01972574599707877,0.05375282755037382,0.07477330955959025,0.027009892229299715,0.009970320724810555,0.0504406377271058,-0.02974413747983061,0.06756899999441143,0.2360581466517767,0.10951615441422571,0.10418656309714333,0.07790107983998051,0.10631512208430809,0.020810420123846558,0.04042722659830741,0.01487292797236012,0.06860727032953241,0.06633408387249777
user_spendings,-0.1658901583987359,-0.09765356527621978,0.09558918170623862,1.0,0.17636415471673952,0.28614905836492227,0.17350344006127122,0.35392613660830946,-0.2874077871333396,0.666458015463385,0.8287093863395325,0.5968946811579328,0.8335721305471869,0.7100507289727208,0.5752962528927847,0.497303669115676,-0.14366092176785497,0.19690745902815468,0.206910553824842,0.19643184390665824,0.4762613386760313,0.6124454712309573,0.54275306729571,0.15477682983098803,0.2824461794947518,0.22933898392790225,0.49476357270588156,0.6202525803586507,0.2250815331669988,-0.24738887298505488,0.1501753390883131,0.12226259153225763,0.42459706915346984,0.43226199867459575,0.18541999854149172,0.20280068216412134,0.4411915342591369,0.09262689514746653,0.08660516267659839,-0.16503196369930206,0.6645507714935392,0.8164008264298344,0.6339816591492933,0.18436564319770748,0.4999009708568641,0.21603559924402588,0.44689961078368384,0.14540405399713816,0.38204592431024187,0.18625294073367493,0.17337586447035455
user_has_outgoing_calls,-0.5208860756634102,-0.5095379123106311,0.12830956727339987,0.17636415471673952,1.0,0.41003757540485564,0.0705449873202833,0.13402817903491113,-0.20477411836165588,0.14259803968830337,0.16793735994022824,0.20663071814426592,0.1686236183998079,0.18147134277149,0.19144710380661664,0.24381102588135758,-0.774347391302022,0.05937975211138092,0.044819667703184365,0.046121164698666096,0.16774027530496985,0.1696093076968949,0.15543630204994816,0.05310206451954789,0.05448868829511857,0.05375509181658197,0.13056487782160567,0.09283601053493301,0.09395353089287388,-0.4563599846059768,0.06426290536203179,0.06434527994345975,0.10598959718590442,0.10752704651936726,0.058675780612600155,0.05467141654876415,0.2167325041785342,0.031981536408492495,0.08760638327311981,-0.0839248365059619,0.17111547029202584,0.18224800367358313,0.19107494209313336,0.056503827645763685,0.16711216262298145,0.06194044382858582,0.13596684347097932,0.07244929362920938,0.11409166451719303,0.06732511238788395,0.02137454479210938
user_has_outgoing_sms,-0.4180406463452457,-0.2630283381984318,0.13758078382387443,0.28614905836492227,0.41003757540485564,1.0,0.13374351878880045,0.35207845042841596,-0.4266646135001089,0.29020705556811904,0.2778111492834952,0.2685762969095089,0.23375780983926817,0.24739603187422982,0.23559118220679057,0.2901492440857083,-0.3678786986347701,0.09270379147733061,0.0692037095039674,0.07187768400518707,0.23115602986639922,0.23656942084039795,0.21290768903042598,0.07906496990985491,0.08624426271778533,0.08671017319123238,0.28260365971854445,0.2069669793814598,0.23142657253706822,-0.8053682771731654,0.14427062372011426,0.14359017223051626,0.23423533669976157,0.23634375507481745,0.1242440603135127,0.11582908452217228,0.32770704036951503,0.07124135827371883,0.1379553354629577,-0.15236370153537968,0.290734153627003,0.2868372726323095,0.24632432111812227,0.08176989885743585,0.21854867565778677,0.09377099445741675,0.2845636161642298,0.157817476122417,0.2426498438379798,0.14350001221111572,0.04206739761299743
user_use_gprs,-0.06667279392982874,-0.04343842221560074,0.03711763164528353,0.17350344006127122,0.0705449873202833,0.13374351878880045,1.0,0.12144562662648477,-0.10952148996471524,0.14862828186721275,0.1357913494301443,0.10078490982085747,0.08521891511767413,0.08619550384617755,0.07719405742538701,0.08130675602943767,-0.061167168713514054,0.021139676860643882,0.01429009538471299,0.015648298782655397,0.07635524658477802,0.06949670348939926,0.06589550948133435,0.018666135141070014,0.023416282044081246,0.01950470862158368,0.13488185765542174,0.08979197710229977,0.06633453743478779,-0.11596575364841041,0.07922741597726812,0.05133136229777069,0.10139462205248584,0.10112847135871678,0.03481375819154833,0.031556036808240935,0.17175107500072279,0.04212404855496581,0.024142902280876524,-0.7545881216509388,0.1511272180787256,0.14406928945705386,0.0870780038814168,0.02055584848692504,0.0704788385608928,0.02349224730109415,0.12780120357359592,0.07611220161712745,0.09733042719406168,0.04328031957971515,0.27528139805262497
user_does_reload,-0.02242039708535824,-0.18655353849977477,0.0702452040178644,0.35392613660830946,0.13402817903491113,0.35207845042841596,0.12144562662648477,1.0,-0.6434228829639308,0.6321549434482189,0.49392886636825584,0.3363681224048398,0.3297200651777932,0.3446582476269011,0.2926749157472741,0.33269131936456503,-0.017082350118195994,0.09390793629186674,0.07819257286683438,0.0774950990015618,0.3004438884898227,0.32343617395035673,0.2978289866136418,0.07686543729019991,0.09424217183752295,0.0900258225397098,0.27245539423447945,0.19435204987955956,0.1462914404159018,-0.26085148122521373,0.11111534175593903,0.11491164695021815,0.21443336242028765,0.21626142511665739,0.10059730662347811,0.09532954467664354,0.31536735662001764,0.07349002463505752,0.07090141099993962,-0.11510172995784601,0.40933182228905307,0.36583435736313513,0.330664807446957,0.07951220688564929,0.29485409933961615,0.0897169843475885,0.2595202463499678,0.11666317543221916,0.20897857950951948,0.1045104358360012,0.056140637381991466
reloads_inactive_days,0.13109013262123567,0.28437030975190575,-0.08733720815703767,-0.2874077871333396,-0.20477411836165588,-0.4266646135001089,-0.10952148996471524,-0.6434228829639308,1.0,-0.41153108613849804,-0.32054974376953027,-0.2813041074737438,-0.2642954026512343,-0.27700603898174875,-0.2572259017922737,-0.3001861398417701,0.10061640884542454,-0.08655193957057047,-0.06868453519065747,-0.06970361036920374,-0.24524965450576588,-0.2614323934556853,-0.23925550445932206,-0.07337020502642279,-0.08449543445098825,-0.08247766042260407,-0.22793340834617576,-0.16456043638444892,-0.14245235047487287,0.4179955049234049,-0.10617770202061973,-0.10183551101204921,-0.18367152223713332,-0.18652076478287863,-0.09557949724464208,-0.08950795107311285,-0.2802778877864336,-0.059953959899235076,-0.09652573497748046,0.12620323633220645,-0.3741346628594306,-0.3610066184204337,-0.302022739855764,-0.08787564628670773,-0.26693951359421303,-0.09783948952537908,-0.2443969408665532,-0.1225583781382567,-0.20470869326347135,-0.11467996196825998,-0.04501194773598179
reloads_count,-0.09109652924705978,-0.11946230433714886,0.020875192238214123,0.666458015463385,0.14259803968830337,0.29020705556811904,0.14862828186721275,0.6321549434482189,-0.41153108613849804,1.0,0.7159554068996967,0.5879168878000717,0.6134844840512481,0.6056215153583469,0.3683507250779598,0.3855945405982181,-0.08116812968989312,0.09359228356142618,0.07618361244710985,0.07736943902166832,0.5177494016568371,0.5532163338122928,0.4992841201089313,0.08832620657201654,0.09883323009572437,0.0948878527288585,0.4484361336942677,0.37299851168889503,0.16753494229540614,-0.23126665799806453,0.14038823495649982,0.14788461508195455,0.36461045927847074,0.36601557561541703,0.09584534489931053,0.08987424730911163,0.49167085533897054,0.1276636883762073,0.05057778409359622,-0.14398563961624947,0.7689235936132657,0.5975443107395245,0.546089988054364,0.07800799147863066,0.45770634676554134,0.09441753220835522,0.4091975314938433,0.14214511539693148,0.33798722665423175,0.10296407910857676,0.1154874382019017
